Why does an increase in water temperature reduce the power required for flocculation to achieve a constant mean velocity gradient (G)?,"An increase in temperature decreases the dynamic viscosity of water, so less power is needed to achieve the same shear rate (G value)."
"What is the primary reason for encouraging the formation of aluminium hydroxide precipitate, $Al(OH)_3(s)$, during alum coagulation?","This precipitate is an amorphous, sticky floc that entraps and enmeshes colloidal particles, a mechanism known as sweep coagulation."
What is the key biological reason that slow sand filters can sometimes achieve better removal of dissolved organic pollutants than rapid gravity filters?,"Slow sand filters develop a biologically active layer called the 'schmutzdecke' on the surface, which biodegrades organic compounds."
"For a drinking water source with high Cryptosporidium risk and a long distribution network, what combination of disinfectants would be effective and why?",UV or ozone for primary disinfection (effective against Cryptosporidium) followed by chlorine for secondary disinfection (to maintain a residual in the network).
What does the term TOTEX stand for in the context of managing water infrastructure?,"Total Expenditure, which is the sum of Capital Expenditure (CAPEX) and Operational Expenditure (OPEX)."
What is the term for the process of adding a known quantity of microorganisms to a BOD test bottle when the sample lacks a sufficient microbial population?,Seeding.
"Which two classes of compounds are commonly used as media in dual-media filters, and why are they chosen?","Anthracite and sand are used; anthracite is less dense and has a larger grain size, so it remains on top of the denser, finer sand after backwashing."
Trihalomethanes (THMs) are a type of disinfection by-product formed when _____ reacts with _____ in the water.,"chlorine, natural organic matter (NOM)"
What is the 'Food-to-Microorganism' (F/M) ratio in an activated sludge process?,"It is the ratio of the daily mass of incoming BOD (food) to the total mass of microorganisms (MLSS) in the aeration tank, indicating the organic loading on the biomass."
What are the two major operational advantages of sectorising a water distribution network into District Metered Areas (DMAs)?,Improved leakage detection and better pressure management.
"To achieve 3-log reduction of Giardia, if coagulation and filtration provide a combined 1.75-log removal credit, what is the required log inactivation for the disinfection step?",1.25-log inactivation (since 3.0 - 1.75 = 1.25).
"In a combined sewer system, overflows typically occur during periods of _____.",heavy rainfall
What is the formula for calculating Stokes' Law settling velocity ($v_s$) for a discrete spherical particle?,"$v_s = \frac{g d^2 (S-1)}{18\nu}$, where g is gravity, d is diameter, S is specific gravity, and $\nu$ is kinematic viscosity."
What happens to the percentage removal of particles in a sedimentation tank if the flow rate is increased while the tank's surface area remains constant?,"The percentage removal decreases because the surface overflow rate increases, giving particles less time to settle."
"What is measured to determine the Minimum Night Flow (MNF) in a DMA, and what is its primary use?",The flow into the DMA is measured during the early morning hours (typically 2-4 am) when legitimate consumption is lowest; it is used to estimate the level of leakage.
"What are the three main components of a typical wastewater treatment plant process flow diagram, often categorised by their function?","Preliminary treatment (screening, grit removal), primary treatment (sedimentation), and secondary treatment (biological process)."
Why is ozonation generally more effective than chlorination against protozoan cysts like Cryptosporidium?,Ozone is a much stronger oxidant than chlorine and is capable of breaking down the tough outer shell (oocyst) of these pathogens.
"In the context of the circular economy, what does 'remanufacture' mean?",It is the process of returning a used product to at least its original performance with a warranty that is equivalent or better than that of the newly manufactured product.
What is the purpose of a secondary clarifier in an activated sludge system?,To separate the biological floc (biomass) from the treated wastewater.
What parameter is calculated by dividing the volume of an aeration tank by the influent wastewater flow rate?,The Hydraulic Retention Time (HRT or $θ$).
How is the Volatile Suspended Solids (VSS) concentration of a wastewater sample determined in a laboratory?,"It is determined by finding the mass loss of the suspended solids sample after ignition in a furnace at a high temperature (e.g., 550°C)."
"An increase in the sphericity (roundness) of filter media grains would cause the headloss across the filter to _____, all else being equal.",decrease
What are two common methods for deciding when a rapid gravity filter needs to be backwashed?,"When the headloss across the filter reaches a predetermined maximum level, or when the effluent turbidity exceeds a target value (breakthrough)."
"In the context of waste management, what is meant by 'producer responsibility'?",It is an environmental policy approach in which producers are given a significant responsibility for the treatment or disposal of post-consumer products.
"A key disadvantage of UV disinfection is its lack of a _____, making it unsuitable for maintaining water quality in long distribution networks without a secondary disinfectant.",residual
"In the calculation of a lake's water balance, the change in storage volume is equal to the inflows (precipitation, river inflow) minus the outflows. Name two key outflows.",Dam discharge (outflow) and evaporation.
The Sludge Volume Index (SVI) is a measure of what characteristic of activated sludge?,The settling characteristics of the sludge; a high SVI indicates poor settling (bulking sludge).
What is the 'functional unit' in a Life Cycle Assessment (LCA)?,"It is a quantified measure of the function of the product or system being studied, providing a reference to which inputs and outputs can be related (e.g., treating 1 m³ of wastewater)."
"In a wastewater treatment plant's mass balance, nitrogen can leave the system as nitrogen gas ($N_2$) through which biological process?",Denitrification.
What is the difference between a 'combined' sewer and a 'separate' sewer system?,"A combined sewer carries both sanitary wastewater and stormwater in the same pipe, whereas a separate system has one pipe for wastewater and another for stormwater."
How does the organic loading rate (OLR) for an activated sludge tank differ from the F/M ratio?,"OLR relates the mass of incoming BOD to the volume of the reactor (kg BOD/m³·day), while F/M ratio relates it to the mass of microorganisms (kg BOD/kg MLSS·day)."
"In the context of alum coagulation chemistry, what does the formation of $Al(OH)_4^-$ at high pH levels signify?","It signifies the re-dissolving of the aluminium hydroxide precipitate, which reduces coagulation efficiency, defining the upper pH limit for effective treatment."
"When prioritising pipe renewal, a risk-based approach considers what two main factors for each pipe asset?","The likelihood of failure (e.g., based on age, material, break history) and the consequence of failure (e.g., number of customers affected, critical infrastructure)."
"In the Ellen MacArthur Foundation 'butterfly diagram', the two main cycles are the _____ cycle for renewable resources and the _____ cycle for finite materials.","biological, technical"
Why is ferric chloride sometimes added in the secondary treatment stage of a wastewater treatment plant?,"It is often used as a coagulant for chemical phosphorus removal, precipitating phosphate from the water."
The percentage removal ($R$) of discrete particles in an ideal sedimentation tank is given by the ratio of the particle's settling velocity ($v_s$) to the tank's _____.,surface overflow rate ($v_0$)
"In the solids matrix for wastewater, Volatile Solids (VS) is the sum of Volatile Suspended Solids (VSS) and _____.",Volatile Dissolved Solids (VDS)
What is the purpose of the 'peak factor' when estimating the peak dry weather flow for a sewer design?,"It accounts for the diurnal variations in flow, ensuring the sewer is sized to handle the maximum flow during the day, not just the daily average."
"For the same ultimate BOD ($L_u$), a wastewater with a higher rate constant ($k$) will exert its oxygen demand _____.",more quickly (or faster)
What are the two primary resource outputs from the sludge treatment line of a modern WWTP that contribute to a circular economy?,Biogas (for energy recovery) and biosolids (for use as fertiliser).
"If a wastewater sample has an initial DO of 8 mg/L and a final DO of 2 mg/L after 5 days, and the dilution factor (P) is 0.02, what is the BOD5?","The BOD5 is 300 mg/L, calculated as (8-2) / 0.02."
What is a significant disadvantage of using ozone for water disinfection concerning water quality in the distribution network?,"Ozone can break down large organic molecules into smaller, more biodegradable ones, potentially leading to bacterial regrowth in the distribution system if a secondary disinfectant isn't used."
What is the primary role of the schmutzdecke in a slow sand filter?,"It is a biologically active layer that provides a significant degree of biological treatment, removing pathogens and biodegrading organic matter."
