"In settling, what defines Type I or Discrete Settling?","Particles settle individually without interacting, and their physical properties (size, shape, density) remain constant during settling."
What is Type II or Flocculent Settling?,"Particles collide and aggregate (flocculate) as they settle, causing them to increase in size and settle faster with depth."
Describe Type III or Hindered (Zone) Settling.,"This occurs at high particle concentrations where particles are so close they hinder each other, settling as a 'blanket' with a clear interface above."
What is Type IV or Compression Settling?,"Occurs at very high concentrations where particles are in physical contact, and settling only occurs as the weight of particles squeezes out water from the sludge mass."
What is the Surface Overflow Rate ($v_0$) in a settling tank?,"It is the design parameter calculated as Flow Rate ($Q$) divided by Surface Area ($A$), representing the upward velocity of the water."
"In an ideal settling tank, what is the removal efficiency for a particle whose settling velocity ($v_s$) is greater than or equal to the overflow rate ($v_0$)?",The removal efficiency is 100%.
What is the formula for the removal percentage of a particle with settling velocity $v_s$ when it is less than the overflow rate $v_0$?,The percentage removed is given by $(\frac{v_s}{v_0}) \times 100$.
"What is the formula for Stokes' Law, used to calculate the settling velocity ($v_s$) of a discrete particle?","$v_s = \frac{g(S - 1)d^2}{18\nu}$, where g is gravity, S is specific gravity, d is particle diameter, and $\nu$ is kinematic viscosity."
Why is it a crucial step to check the Reynolds Number (Re) after calculating settling velocity with Stokes' Law?,"Stokes' Law is only valid for laminar flow conditions, where $Re < 1$, so the check is required to validate the calculation."
How does Stokes' Law explain the benefit of coagulation and flocculation?,"Settling velocity ($v_s$) is proportional to the square of the particle diameter ($d^2$), so increasing particle size through flocculation drastically increases settling speed."
Compare the removal of slow-settling particles ($v_s < v_0$) in horizontal flow vs. upflow clarifiers.,"Horizontal flow clarifiers achieve partial removal of slow particles, while upflow clarifiers achieve zero removal as these particles are carried out with the upward flow."
What is the main problem with using a single media sand filter that dual media filters solve?,"After backwashing, sand stratifies with the smallest grains on top, causing rapid surface blinding and inefficient use of the filter bed depth."
"In a dual media filter, why is anthracite placed on top of the sand?","Anthracite has larger particles but a lower density than sand, so after backwashing it naturally settles back on top of the denser sand layer."
What is the primary benefit of 'depth filtration' achieved by dual media filters?,"Larger particles are trapped in the coarse top layer (anthracite) and smaller particles are trapped in the finer bottom layer (sand), utilising the entire bed depth."
What is 'filter ripening'?,"It is the initial period after backwashing where the filter is 'too clean' and efficiency is low, until some particles attach to the media and improve its collection ability."
List the three criteria that can trigger the need to backwash a filter.,"1. Headloss reaches a maximum limit, 2. Breakthrough of turbidity occurs in the effluent, or 3. A maximum time limit is reached."
The Fair-Hatch equation for headloss ($h_L$) in a filter bed includes the term $\Sigma(\frac{P_i}{d_i^2})$. What do $P_i$ and $d_i$ represent?,"$P_i$ is the mass fraction of particles retained between two sieves, and $d_i$ is the geometric mean diameter of those particles."
Differentiate between primary and secondary disinfection in water treatment.,"Primary disinfection occurs at the plant to kill pathogens in the source water, while secondary disinfection maintains a residual in the distribution network to prevent regrowth."
"In chlorine chemistry, which form of free chlorine, hypochlorous acid (HOCl) or the hypochlorite ion ($OCl^-$), is the stronger disinfectant?",Hypochlorous acid (HOCl) is a much stronger disinfectant than the hypochlorite ion ($OCl^-$).
How does pH affect the efficiency of chlorine disinfection?,"Lower pH (below 7.5) favours the formation of HOCl, the stronger disinfectant, leading to better disinfection; higher pH favours the weaker $OCl^-$ ion."
What is the 'breakpoint' in breakpoint chlorination?,"It is the point at which all ammonia in the water has been destroyed by chlorine, and any further chlorine added becomes a free chlorine residual."
What is a major disadvantage of using chlorine for disinfection related to organic matter?,Chlorine reacts with natural organic matter to form potentially carcinogenic disinfection by-products (DBPs) such as trihalomethanes (THMs).
Which common disinfectant is effective against Cryptosporidium but provides no residual for the distribution network?,Ozone (or UV radiation).
What is a key requirement for UV disinfection to be effective?,The water must have low turbidity (be very clear) to ensure the UV light can penetrate and reach the microorganisms.
What is the meaning of the '$Ct_{calculated} \ge Ct_{required}$' rule in disinfection?,The calculated product of the disinfectant Concentration and contact Time in the system must be greater than or equal to the value required by regulations to achieve a specific log removal of pathogens.
"In disinfection calculations, what does the term $t_{10}$ represent?","It represents the time it takes for 10% of the water to pass through the contact tank, accounting for short-circuiting and providing a conservative estimate of contact time."
What is a District Metered Area (DMA) in a water distribution network?,"A discrete, hydraulically isolated section of the network where water enters through a single metered inlet and all other connections are closed with boundary valves."
What is the primary purpose of establishing DMAs?,To quantify leakage by calculating the Net Night Flow (Total Inflow minus Legitimate Night Consumption).
What is a major disadvantage of a single-feed DMA in terms of resilience?,"If the single inlet pipe fails, the entire area loses its water supply."
Why is the period between 02:00 and 04:00 am typically used to measure Minimum Night Flow (MNF) for leakage detection?,"Because legitimate customer water consumption is at its lowest and most stable during this period, making any significant flow likely to be from leakage."
"The relationship between leakage flow rate ($Q_{leak}$) and pressure (P) is described by the FAVOUR equation, $Q_{leak} \propto P^{N1}$. What does this imply?","It implies that reducing pressure can significantly reduce leakage flow rate, especially for plastic pipes where the exponent N1 is often greater than 1."
"Besides reducing leakage flow rate, what is another key benefit of pressure management in a water network?","It reduces the frequency of new bursts by minimising pressure transients (surges) that stress the pipes, thereby extending asset life."
What is the formula for risk-based asset renewal in water networks?,Risk = Probability of Failure × Consequence of Failure.
"In a wastewater treatment plant (WWTP), what is the function of the grit chamber?",To remove dense inorganic particles like sand and grit to prevent abrasion of pumps and accumulation in digesters.
What is the main objective of primary clarification in a WWTP?,To remove settleable suspended solids and floatable materials from wastewater through gravity settling.
What process occurs in the aeration tank of a WWTP?,"Secondary (biological) treatment, where microorganisms consume dissolved organic matter and convert it into biomass."
What is the purpose of an anaerobic digester in the sludge treatment line?,To stabilise organic solids and convert biomass into biogas (methane and $CO_2$) for energy recovery.
What is the formula for Dry Weather Flow (DWF) in a sewer system?,"$DWF = PG + I + E$, where P is population, G is per capita consumption, I is infiltration, and E is trade effluent."
Babbitt's formula for the peak flow factor is $\frac{5}{P^{0.2}}$. What is the critical convention for the population value 'P' in this formula?,"The population 'P' must be expressed in thousands (e.g., for a population of 50,000, P = 50)."
The Rational Method for calculating stormwater flow is $Q = 2.78 \cdot C \cdot i \cdot A$. What does the term '$i$' represent?,'$i$' represents the rainfall intensity in mm/hr for a duration equal to the time of concentration.
"In stormwater calculations, the time of concentration ($t_c$) is the sum of what two components?",It is the sum of the time of entry ($t_e$) and the time of flow ($t_f$).
How does an Activated Sludge process differ from a Trickling Filter process in terms of microbial growth?,"Activated Sludge is a suspended growth process where microbes float in the water, while a Trickling Filter is an attached growth process where a biofilm grows on media."
What does a high Sludge Volume Index (SVI > 150) typically indicate?,"It indicates 'sludge bulking', a condition of poor settling characteristics often caused by filamentous bacteria."
The F/M ratio in an activated sludge system is a measure of ____.,"The organic loading rate, specifically the ratio of food (influent BOD) to the mass of microorganisms (MLSS) in the aeration tank."
What is the formula for Sludge Age ($	heta_c$)?,"$\theta_c = \frac{V \cdot X}{P_x}$, where $V \cdot X$ is the total biomass in the system and $P_x$ is the mass of sludge wasted per day."
The organic loading rate (OLR) for a trickling filter is typically expressed in what units?,Kilograms of BOD per cubic metre of filter media per day (kg BOD/$m^3 \cdot d$).
How does primary sludge differ from secondary (activated) sludge in terms of solids content?,"Primary sludge is denser and has a higher solids content (~4-6%) compared to secondary sludge, which is mostly biomass and has a lower solids content (~0.5-2%)."
List the four stages of Anaerobic Digestion in the correct order.,"1. Hydrolysis, 2. Acidogenesis, 3. Acetogenesis, 4. Methanogenesis."
"During which stage of anaerobic digestion are volatile fatty acids (VFAs) converted to acetic acid, $H_2$, and $CO_2$?",Acetogenesis.
The formula for the mass of secondary sludge produced is $M_{ss} = Y_{obs} \times BOD_{removed} \times Q$. What does the term $Y_{obs}$ represent?,"$Y_{obs}$ is the observed yield coefficient, representing the mass of sludge (SS) produced per unit mass of BOD removed."
"In lab solids analysis, Total Solids (TS) are measured by drying a sample at what temperature?",105°C.
Volatile Solids (VS) are determined by the mass lost after igniting the dried solids at what temperature?,550°C.
What are the four phases of a Life Cycle Assessment (LCA) according to ISO 14040?,"1. Goal & Scope Definition, 2. Inventory Analysis (LCI), 3. Impact Assessment (LCIA), and 4. Interpretation."
"In an LCA, what is a 'functional unit'?","A quantified performance of a product or system used as a reference for comparison, such as 'treatment of 1 $m^3$ of wastewater'."
"In an LCA of a WWTP, what is typically the largest contributor, or 'hotspot', to the carbon footprint?",Electricity consumption for processes like aeration and pumping.
"In the Circular Economy 'Butterfly Diagram', what is the key difference between the technical and biological cycles?","The technical cycle deals with non-biodegradable products to be maintained, reused, or recycled, while the biological cycle deals with biodegradable materials to be returned to the biosphere."
Which actions are preferred in the technical cycle of the circular economy: inner loops like 'maintain/reuse' or outer loops like 'recycle'?,"The inner loops (maintain, reuse, refurbish) are preferred as they preserve more of the product's embedded value and energy."
"In a WWTP mass balance, what is the 'golden rule' for calculating an unknown output stream?",The total mass of a substance entering the system must equal the total mass of that substance leaving the system in all output streams (Mass IN = Mass OUT).
How is the resource recovery rate for a substance like phosphorus calculated in a WWTP?,"It is the mass of phosphorus recovered in a useful product (e.g., biosolids for fertiliser) divided by the total mass of phosphorus entering the plant, expressed as a percentage."
What technology could be implemented at a WWTP to improve the water recovery rate from near zero?,Tertiary treatment technologies like Ultrafiltration (UF) and Reverse Osmosis (RO) to produce high-quality reusable water.
"List the five levels of the Waste Hierarchy, from most to least preferable.","1. Prevention, 2. Reuse, 3. Recycling, 4. Other Recovery (e.g., energy), 5. Disposal."
"What is the formula for projecting future waste generation ($W_{future}$) based on a current amount ($W_{current}$), a growth rate ($r$), and a number of years ($n$)?",$W_{future} = W_{current} \times (1 + r)^n$.
"When calculating the number of waste treatment plants required, if the result is a non-integer (e.g., 24.85), what is the correct engineering decision?","Always round up to the next whole number (e.g., 25 plants) to ensure sufficient capacity to treat the entire waste load."
Why is 'true recycling rate' often lower than 'collection rate' for recycling?,"The collection rate measures all material collected for recycling, while the true rate accounts for losses due to contamination and processing inefficiencies, which reduce the final amount of reprocessed material."
